viagem_id,veiculo_id,motorista_id,geocerca_origem_id,geocerca_destino_id,data_inicio,data_fim_prevista,data_fim_real,status,distancia_km,peso_carga_kg,nota_fiscal
VIA-000001,VEI-0062,MOT-0054,GEO-0005,GEO-0027,2026-04-28 21:34:51.499012,2026-04-29 15:34:51.499012,,cancelada,697,29358,NF-577810
VIA-000002,VEI-0114,MOT-0018,GEO-0007,GEO-0023,,2026-04-30 08:39:19.140311,2026-04-30 09:39:19.140311,concluida,1413,981,NF-523426
VIA-000003,VEI-0116,MOT-0007,GEO-0008,GEO-0033,2026-04-28 21:34:58.588212,2026-05-01 19:34:58.588212,,atrasada,1842,20430,NF-668277
VIA-000004,VEI-0086,MOT-0051,GEO-0006,GEO-0023,2026-04-28 21:36:13.170904,2026-04-30 23:36:13.170904,2026-05-01 00:36:13.170904,concluida,739,25785,NF-276449
VIA-000005,VEI-0022,MOT-0027,GEO-0005,GEO-0008,2026-04-28 21:35:54.398814,2026-04-29 16:35:54.398814,2026-04-30 00:35:54.398814,concluida,2016,7482,NF-231748
VIA-000006,VEI-0063,MOT-0110,GEO-0005,GEO-0003,2026-04-28 21:35:02.961972,2026-04-30 16:35:02.961972,2026-05-01 00:35:02.961972,concluida,882,12509,NF-905350
VIA-000007,VEI-0069,MOT-0049,GEO-0002,GEO-0029,2026-04-28 21:36:07.209937,2026-05-01 14:36:07.209937,2026-05-01 21:36:07.209937,concluida,1012,38638,NF-505223
VIA-000008,VEI-0099,MOT-0046,GEO-0001,GEO-0026,2026-04-28 21:38:37.897603,2026-05-01 19:38:37.897603,2026-05-02 03:38:37.897603,concluida,693,11724,NF-530335
VIA-000009,VEI-0086,MOT-0118,GEO-0003,GEO-0028,2026-04-28 21:36:43.119554,2026-04-29 23:36:43.119554,2026-04-30 04:36:43.119554,concluida,522,14312,NF-175632
VIA-000010,VEI-0026,MOT-0080,GEO-0003,GEO-0026,2026-04-28 21:38:47.174684,2026-04-29 22:38:47.174684,2026-04-30 03:38:47.174684,concluida,421,39644,NF-420849
VIA-000011,VEI-0142,MOT-0105,GEO-0006,GEO-0005,2026-04-28 21:34:31.290406,2026-04-29 21:34:31.290406,2026-04-30 04:34:31.290406,concluida,1886,12419,NF-874556
VIA-000012,VEI-0131,MOT-0009,GEO-0008,GEO-0036,2026-04-28 21:36:21.043288,2026-04-30 06:36:21.043288,,atrasada,2088,15005,NF-293176
VIA-000013,VEI-0039,MOT-0118,GEO-0002,GEO-0033,2026-04-28 21:34:03.941535,2026-05-01 15:34:03.941535,,cancelada,1350,14083,NF-104609
VIA-000014,VEI-0129,MOT-0075,GEO-0004,GEO-0028,2026-04-28 21:34:49.234886,2026-05-01 19:34:49.234886,,em_transito,296,4724,NF-137492
VIA-000015,VEI-0039,MOT-0042,GEO-0005,GEO-0023,2026-04-28 21:38:14.039323,2026-04-29 11:38:14.039323,,em_transito,2344,8839,NF-249401
VIA-000016,VEI-0051,MOT-0111,GEO-0007,GEO-0032,2026-04-28 21:35:21.416996,2026-05-01 08:35:21.416996,2026-05-01 11:35:21.416996,concluida,-1740,11663,NF-604633
VIA-000017,VEI-0127,MOT-0045,GEO-0005,GEO-0030,2026-04-28 21:36:25.377510,2026-05-01 00:36:25.377510,,atrasada,941,17007,NF-580787
VIA-000018,VEI-0036,MOT-0082,GEO-0002,GEO-0004,2026-04-28 21:38:24.181956,2026-04-29 19:38:24.181956,,em_transito,1615,11101,NF-560141
VIA-000019,VEI-0085,MOT-0119,GEO-0002,GEO-0034,2026-04-28 21:34:25.831758,2026-04-30 01:34:25.831758,2026-04-30 09:34:25.831758,concluida,1838,8322,NF-605879
VIA-000020,VEI-0123,MOT-0063,GEO-0006,GEO-0038,2026-04-28 21:38:58.350718,2026-04-29 19:38:58.350718,,atrasada,1183,15981,NF-201269
VIA-000021,VEI-0149,MOT-0058,GEO-0004,GEO-0020,2026-04-28 21:35:59.244693,2026-04-30 22:35:59.244693,2026-04-30 22:35:59.244693,concluida,709,12038,NF-657566
VIA-000022,VEI-9999,MOT-0087,GEO-0003,GEO-0006,2026-04-28 21:38:00.359946,2026-05-01 14:38:00.359946,2026-05-01 21:38:00.359946,concluida,2171,5339,NF-652860
VIA-000023,VEI-0110,MOT-0114,GEO-0002,GEO-0031,2026-04-28 21:38:37.001191,2026-04-30 23:38:37.001191,2026-04-30 22:38:37.001191,concluida,787,3814,NF-547175
VIA-000024,VEI-0106,MOT-0087,GEO-0008,GEO-0026,2026-04-28 21:34:47.645519,2026-05-01 08:34:47.645519,,atrasada,272,39272,NF-943172
VIA-000025,VEI-0093,MOT-0099,GEO-0003,GEO-0008,2026-04-28 21:35:34.228699,2026-04-30 22:35:34.228699,2026-05-01 05:35:34.228699,concluida,630,30954,NF-557469
VIA-000026,VEI-0113,MOT-0038,GEO-0002,GEO-0033,2026-04-28 21:33:39.643187,2026-04-30 03:33:39.643187,2026-04-30 09:33:39.643187,concluida,993,25514,NF-762634
VIA-000027,VEI-0143,MOT-0079,GEO-0003,GEO-0023,2026-04-28 21:34:47.734646,2026-05-01 02:34:47.734646,2026-05-01 00:34:47.734646,concluida,1927,18907,NF-623199
VIA-000028,VEI-0143,MOT-0058,GEO-0006,GEO-0031,2026-04-28 21:34:11.590013,2026-04-29 03:34:11.590013,2026-04-29 02:34:11.590013,concluida,1934,30500,NF-983594
VIA-000029,VEI-0088,MOT-0007,GEO-0007,GEO-0004,2026-04-28 21:39:31.584583,2026-04-29 04:39:31.584583,2026-04-29 08:39:31.584583,concluida,612,22870,NF-558494
VIA-000030,VEI-0106,MOT-0102,GEO-0006,GEO-0032,2026-04-28 21:39:01.540459,2026-04-29 01:39:01.540459,2026-04-29 06:39:01.540459,concluida,2057,5032,NF-254790
VIA-000031,VEI-0114,MOT-0093,GEO-0007,GEO-0022,2026-04-28 21:33:44.060749,2026-04-30 02:33:44.060749,,cancelada,418,23736,NF-313667
VIA-000032,VEI-0027,MOT-0059,GEO-0001,GEO-0008,2026-04-28 21:39:23.937829,2026-04-29 06:39:23.937829,2026-04-29 05:39:23.937829,concluida,1349,4124,
VIA-000033,VEI-0085,MOT-0038,GEO-0006,GEO-0038,,2026-04-30 12:37:48.579928,2026-04-30 14:37:48.579928,concluida,257,27595,NF-302426
VIA-000034,VEI-0106,MOT-0063,GEO-0008,GEO-0003,2026-04-28 21:33:54.123246,2026-04-29 18:33:54.123246,2026-04-30 02:33:54.123246,concluida,380,6819,NF-711349
VIA-000035,VEI-0083,MOT-0106,GEO-0007,GEO-0036,2026-04-28 21:37:40.723524,2026-04-29 17:37:40.723524,,em_transito,340,32390,NF-206198
