veiculo_id,placa,marca,modelo,ano_fabricacao,tipo,capacidade_kg,capacidade_paletes,km_atual,status,data_ultima_revisao
VEI-0001,PFX4S35,Volvo,VM 270,2025,Carreta LS,41500,30,768660,ativo,2025-08-16
VEI-0002,XNY3W49,DAF,XF 530,2025,Carreta LS,41500,30,580249,ativo,2026-01-29
VEI-0003,RHU8X37,Iveco,Tector,2018,Carreta LS,41500,30,441919,inativo,2025-10-26
VEI-0004,NQX5T35,Mercedes-Benz,Actros 2651,2021,Carreta Simples,33000,25,351293,ativo,2026-04-14
VEI-0005,JRW4K74,MAN,TGX 29.520,2016,Caminhão Truck,23000,14,344730,ativo,2025-11-03
VEI-0006,XYG5W27,Scania,R 450,2023,Caminhão Truck,23000,14,222957,ativo,2026-01-27
VEI-0007,OWU2E97,Iveco,Tector,2023,VUC,6500,3,739378,ativo,2025-11-07
VEI-0008,NBY7L40,Volvo,FH 540,2018,Caminhão Truck,23000,14,377300,ativo,2025-12-13
VEI-0009,ODX3X19,Iveco,S-Way,2022,Carreta LS,41500,30,326013,ativo,2025-06-16
VEI-0010,KMK2L75,MAN,TGX 29.520,2022,Caminhão Truck,23000,14,244080,ativo,2026-02-11
VEI-0011,KNN1K39,Iveco,Tector,2017,Carreta LS,41500,30,68475,ativo,2025-11-20
VEI-0012,NHG9B31,Scania,R 450,2023,Caminhão Truck,23000,14,179906,ativo,2026-01-26
VEI-0013,INVALIDA,DAF,CF 85,2017,Caminhão Toco,14000,8,580724,ativo,2025-08-21
VEI-0014,SZW9N36,DAF,CF 85,2019,VUC,6500,3,685860,ativo,2025-12-07
VEI-0015,KUT7Y63,Mercedes-Benz,Actros 2651,2025,Caminhão Truck,23000,14,633255,ativo,2025-07-20
VEI-0016,OLE5G96,Volvo,FH 540,2017,VUC,6500,3,13065,ativo,2025-09-08
VEI-0017,TUE6I52,DAF,XF 530,2016,Carreta LS,41500,30,21168,ativo,2025-09-15
VEI-0018,KKW1W27,Volvo,FH 460,2022,Bitrem,57000,37,193452,ativo,2025-10-14
VEI-0019,FVW5Y30,Mercedes-Benz,Atego 2430,2025,Carreta LS,41500,30,49096,ativo,2026-03-08
VEI-0020,KGS4V39,Mercedes-Benz,Actros 2651,2016,VUC,6500,3,133348,ativo,2025-05-20
VEI-0021,FAE6O81,Iveco,Tector,2020,Bitrem,57000,37,177123,ativo,2026-01-09
VEI-0022,LHC3G80,MAN,TGX 29.520,2018,Bitrem,57000,37,316009,em_manutencao,2026-02-14
VEI-0023,HWO3T40,DAF,XF 530,2024,Carreta Simples,33000,25,385447,ativo,2025-08-01
VEI-0024,QNV0N42,Iveco,S-Way,2024,Carreta LS,41500,30,409068,em_manutencao,2025-07-09
VEI-0025,CJJ8I38,MAN,TGX 29.520,2017,Caminhão Truck,23000,14,496071,ativo,2025-06-15
VEI-0026,VXI0Q86,MAN,TGX 29.520,2021,Carreta LS,41500,30,686026,ativo,2025-06-02
VEI-0027,GGZ4M14,MAN,TGX 29.520,2025,Caminhão Toco,14000,8,681162,ativo,2025-06-30
VEI-0028,HKL1Y69,Mercedes-Benz,Atego 2430,2020,VUC,6500,3,140229,ativo,2026-01-09
VEI-0029,ZBS3V31,MAN,TGX 29.520,2025,Caminhão Truck,23000,14,319811,ativo,2025-11-12
VEI-0030,XXU5C80,Mercedes-Benz,Actros 2651,2021,Carreta Simples,33000,25,798449,ativo,2025-06-09
VEI-0031,BQE2G99,Scania,R 450,2024,Carreta Simples,33000,25,459352,ativo,2026-03-24
VEI-0032,TCQ6F77,Iveco,S-Way,2017,Bitrem,57000,37,450816,ativo,2025-07-22
VEI-0033,SZX0F97,Mercedes-Benz,Atego 2430,2024,Bitrem,57000,37,307437,ativo,2025-06-25
VEI-0034,ETD4Z35,DAF,XF 530,2024,Caminhão Toco,14000,8,-201014,ativo,2026-04-07
VEI-0035,RZT1U95,Iveco,Tector,2017,VUC,6500,3,513042,ativo,2025-05-08
